HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459648.97723,2022-03-10.4726810,bB,2.06,17.696,>17.696,99.990,0.112,0.061,g
2459648.97848,2022-03-10.4739309,bB,2.07,17.752,>17.752,99.990,0.188,0.058,g
2459648.97973,2022-03-10.4751892,bB,2.07,17.805,>17.805,99.990,-0.063,0.055,g
2459649.00730,2022-03-10.5027554,bB,2.07,17.749,>17.749,99.990,0.003,0.058,g
2459649.00857,2022-03-10.5040208,bB,2.07,17.724,>17.724,99.990,0.172,0.059,g
2459649.00983,2022-03-10.5052826,bB,2.06,17.771,>17.771,99.990,0.062,0.057,g
2459651.77938,2022-03-13.2749662,bB,1.73,16.661,>16.661,99.990,0.163,0.157,g
2459651.78064,2022-03-13.2762319,bB,1.69,16.652,>16.652,99.990,0.089,0.159,g
2459651.78191,2022-03-13.2774986,bB,1.74,16.667,>16.667,99.990,0.505,0.156,g
2459657.95128,2022-03-19.4472104,bB,2.01,16.272,>16.272,99.990,-0.095,0.225,g
2459657.95254,2022-03-19.4484732,bB,2.00,16.265,>16.265,99.990,0.439,0.227,g
2459657.95381,2022-03-19.4497340,bB,1.99,16.283,>16.283,99.990,0.081,0.223,g
2459659.92098,2022-03-21.4170270,bB,2.02,16.712,>16.712,99.990,-0.091,0.150,g
2459659.92223,2022-03-21.4182817,bB,2.03,16.849,>16.849,99.990,-0.156,0.132,g
2459659.92349,2022-03-21.4195443,bB,2.03,16.712,>16.712,99.990,0.151,0.150,g
2459661.92635,2022-03-23.4225181,bB,1.72,16.515,>16.515,99.990,0.466,0.180,g
2459661.92760,2022-03-23.4237704,bB,1.71,17.196,>17.196,99.990,-0.036,0.096,g
2459661.92887,2022-03-23.4250371,bB,1.70,17.533,>17.533,99.990,0.084,0.070,g
2459664.80700,2022-03-26.3033640,bB,2.07,17.712,>17.712,99.990,0.145,0.060,g
2459664.80825,2022-03-26.3046096,bB,2.00,17.787,>17.787,99.990,0.029,0.056,g
2459664.80952,2022-03-26.3058806,bB,2.06,17.663,>17.663,99.990,0.106,0.063,g
2459665.84917,2022-03-27.3456042,br,1.41,17.464,>17.464,99.990,0.343,0.075,g
2459665.85042,2022-03-27.3468548,br,1.38,17.386,>17.386,99.990,0.087,0.081,g
2459665.85166,2022-03-27.3480876,br,1.36,17.366,>17.366,99.990,0.177,0.082,g
2459666.85195,2022-03-28.3484508,br,1.41,17.397,>17.397,99.990,-0.012,0.080,g
2459666.85319,2022-03-28.3496866,br,1.44,17.333,>17.333,99.990,0.150,0.085,g
2459671.69226,2022-04-02.1891012,br,1.41,17.391,>17.391,99.990,0.245,0.080,g
