HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459637.07121,2022-02-26.5716599,bB,2.13,19.002,>19.002,99.990,-0.059,0.018,g
2459638.90332,2022-02-28.4036501,bj,1.59,16.698,>16.698,99.990,-0.036,0.152,g
2459641.02332,2022-03-02.5235097,bB,1.75,18.989,>18.989,99.990,-0.070,0.018,g
2459644.02152,2022-03-05.5215164,bB,2.03,18.801,>18.801,99.990,-0.064,0.022,g
2459647.02843,2022-03-08.5282314,bB,2.49,18.593,>18.593,99.990,0.005,0.027,g
2459648.88091,2022-03-10.3805859,bF,1.63,18.700,>18.700,99.990,0.030,0.024,g
2459650.99700,2022-03-12.4965399,bB,2.13,17.839,>17.839,99.990,-0.087,0.053,g
2459653.09702,2022-03-14.5964290,bB,1.99,18.883,>18.883,99.990,-0.063,0.020,g
2459656.11153,2022-03-17.6107451,bB,2.14,16.303,>16.303,99.990,0.137,0.219,g
2459658.83605,2022-03-20.3350858,br,1.58,17.139,>17.139,99.990,-0.015,0.101,g
2459661.00319,2022-03-22.5020906,bB,2.01,17.757,>17.757,99.990,-0.170,0.057,g
2459662.83365,2022-03-24.3324274,br,1.42,18.056,>18.056,99.990,0.117,0.044,g
2459663.84436,2022-03-25.3430855,bF,1.46,18.105,>18.105,99.990,-0.083,0.042,g
2459664.86902,2022-03-26.3676795,br,1.48,19.063,>19.063,99.990,-0.015,0.017,g
2459666.85404,2022-03-28.3525758,bj,1.50,18.558,>18.558,99.990,0.058,0.027,g
2459666.96519,2022-03-28.4637142,bB,2.22,19.287,>19.287,99.990,-0.021,0.014,g
