HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458110.90634,2017-12-23.4027967,br,1.61,18.837,>18.837,99.990,-0.025,0.021,g
2458110.98853,2017-12-23.4849768,bb,2.06,17.742,>17.742,99.990,-0.122,0.061,V
2458112.89227,2017-12-25.3885850,br,1.51,18.949,>18.949,99.990,-0.046,0.019,g
2458113.89273,2017-12-26.3889754,br,1.47,18.757,>18.757,99.990,-0.035,0.023,g
2458115.92696,2017-12-28.4230747,br,1.45,18.917,>18.917,99.990,-0.034,0.020,g
2458124.81136,2018-01-06.3069456,br,1.52,17.733,>17.733,99.990,-0.037,0.059,g
2458125.07411,2018-01-06.5696812,bb,2.04,17.206,>17.206,99.990,0.436,0.101,V
2458126.01344,2018-01-07.5089686,bb,2.08,17.349,>17.349,99.990,0.189,0.088,V
2458127.10491,2018-01-08.6003795,bb,2.12,17.910,>17.910,99.990,-0.057,0.053,V
2458128.13543,2018-01-09.6308581,bb,1.68,17.886,>17.886,99.990,0.066,0.054,V
2458129.12136,2018-01-10.6167283,bb,1.78,17.693,>17.693,99.990,-0.014,0.064,V
2458130.12563,2018-01-11.6209621,bb,1.76,17.971,>17.971,99.990,-0.009,0.050,V
2458130.84822,2018-01-12.3435164,br,1.41,18.735,>18.735,99.990,-0.064,0.023,g
2458132.06562,2018-01-13.5608587,bb,1.74,17.873,>17.873,99.990,0.070,0.054,V
2458132.83828,2018-01-14.3334924,br,1.97,18.817,>18.817,99.990,0.007,0.022,g
2458132.96247,2018-01-14.4576744,bb,1.61,18.107,>18.107,99.990,-0.006,0.044,V
2458133.83508,2018-01-15.3302437,br,1.79,18.833,>18.833,99.990,-0.036,0.021,g
2458133.95298,2018-01-15.4481449,bb,1.75,17.901,>17.901,99.990,0.107,0.053,V
2458134.97969,2018-01-16.4748222,bb,1.71,18.142,>18.142,99.990,0.169,0.042,V
2458135.95803,2018-01-17.4531166,bb,1.99,18.211,>18.211,99.990,-0.016,0.040,V
2458137.85341,2018-01-19.3484248,br,1.59,18.644,>18.644,99.990,-0.034,0.025,g
2458137.93577,2018-01-19.4307862,bb,2.19,18.045,>18.045,99.990,-0.077,0.046,V
2458138.84968,2018-01-20.3446712,br,1.52,18.860,>18.860,99.990,0.007,0.021,g
2458138.95944,2018-01-20.4544277,bb,1.69,17.977,>17.977,99.990,-0.018,0.049,V
2458139.85094,2018-01-21.3458957,br,2.01,18.534,>18.534,99.990,0.010,0.028,g
2458141.82863,2018-01-23.3235247,br,1.39,18.728,>18.728,99.990,-0.011,0.023,g
2458141.91889,2018-01-23.4137885,bb,1.73,18.129,>18.129,99.990,0.087,0.043,V
2458142.85898,2018-01-24.3538460,br,1.35,18.875,>18.875,99.990,-0.018,0.020,g
2458143.85941,2018-01-25.3542517,br,1.38,18.814,>18.814,99.990,0.013,0.022,g
