HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458729.59523,2019-09-03.0958425,bo,1.44,17.918,>17.918,99.990,-0.772,0.049,g
2458730.58544,2019-09-04.0859599,bo,1.46,17.965,>17.965,99.990,-0.627,0.047,g
2458730.96862,2019-09-04.4690946,bs,1.44,18.157,>18.157,99.990,-0.370,0.040,g
2458733.02962,2019-09-06.5299035,bC,1.42,18.312,>18.312,99.990,-0.491,0.034,g
2458734.57291,2019-09-08.0730469,bo,1.45,18.056,17.553,0.137,0.346,0.044,g
2458735.03002,2019-09-08.5301210,bC,1.48,18.289,17.268,0.085,0.450,0.035,g
2458735.59585,2019-09-09.0958868,bo,1.49,17.697,16.621,0.081,0.816,0.061,g
2458738.81379,2019-09-12.3135267,bk,1.49,17.307,16.363,0.092,1.035,0.087,g
2458741.06799,2019-09-14.5675174,bC,1.48,17.652,16.515,0.077,0.900,0.063,g
2458741.81743,2019-09-15.3168853,bk,1.67,17.396,16.267,0.077,1.130,0.080,g
2458742.64084,2019-09-16.1402229,bo,1.50,16.810,16.439,0.156,0.965,0.137,g
2458744.10778,2019-09-17.6070189,bC,1.42,17.453,15.733,0.045,1.848,0.076,g
2458749.89318,2019-09-23.3918884,bs,1.46,18.238,>18.238,99.990,-0.081,0.037,g
2458752.98284,2019-09-26.4812600,bC,1.44,17.903,>17.903,99.990,-0.715,0.050,g
2458753.89356,2019-09-27.3919093,bs,1.43,18.364,>18.364,99.990,-0.294,0.033,g
2458754.54940,2019-09-28.0476810,bo,1.48,17.933,>17.933,99.990,-0.665,0.049,g
2458755.87797,2019-09-29.3761379,bG,1.45,18.351,>18.351,99.990,-0.224,0.033,g
2458757.05495,2019-09-30.5530096,bC,1.53,18.153,>18.153,99.990,-0.680,0.040,g
2458763.74427,2019-10-07.2417538,bG,1.47,17.652,16.927,0.112,0.616,0.063,g
2458764.74077,2019-10-08.2381677,bG,1.44,17.515,>17.515,99.990,0.205,0.072,g
2458765.85824,2019-10-09.3555480,bs,1.47,18.199,>18.199,99.990,0.051,0.038,g
2458766.86444,2019-10-10.3616689,bs,1.44,17.853,>17.853,99.990,-0.343,0.052,g
2458767.51175,2019-10-11.0089297,bo,1.61,17.237,>17.237,99.990,-0.503,0.093,g
2458769.98716,2019-10-13.4841391,bC,1.67,17.410,>17.410,99.990,-0.215,0.079,g
2458770.98277,2019-10-14.4796606,bC,1.52,17.667,>17.667,99.990,0.156,0.062,g
2458772.57505,2019-10-16.0718200,bo,1.46,17.253,>17.253,99.990,-0.002,0.091,g
2458779.01179,2019-10-22.5080861,bC,1.43,18.633,>18.633,99.990,-0.126,0.026,g
2458779.59006,2019-10-23.0863275,bo,1.48,18.503,>18.503,99.990,-0.113,0.029,g
2458780.14549,2019-10-23.6417113,bC,1.47,18.286,>18.286,99.990,0.059,0.035,g
2458781.13746,2019-10-24.6336137,bC,1.36,18.415,>18.415,99.990,-0.338,0.031,g
2458782.14884,2019-10-25.6449229,bC,1.43,17.943,>17.943,99.990,-0.758,0.048,g
2458782.87338,2019-10-26.3694192,bs,1.52,18.300,>18.300,99.990,-0.501,0.035,g
2458784.88748,2019-10-28.3833961,bs,1.44,18.823,>18.823,99.990,0.046,0.021,g
2458786.60327,2019-10-30.099075,bo,1.85,17.815,>17.815,99.990,-0.640,0.054,g
2458788.87024,2019-11-01.3659256,bs,1.56,17.969,>17.969,99.990,-0.970,0.047,g
2458789.89215,2019-11-02.3877731,bs,1.61,17.975,>17.975,99.990,-1.035,0.047,g
2458790.46511,2019-11-02.9606936,bo,1.49,17.550,>17.550,99.990,-1.390,0.069,g
